V1		bench	correl
352	sh601088	中国神华	sh000016	0.789002595631361
353	sh601098	中南传媒	sh000905	0.686802268127793
354	sh601099	太平洋	sh000300	0.760795020498886
355	sh601106	中国一重	sh000001	0.666437690504631
356	sh601111	中国国航	sh000001	0.673432350593366
357	sh601117	中国化学	sh000001	0.70287764398053
358	sh601118	海南橡胶	sh000905	0.649311342009476
359	sh601127	小康股份	sh000905	0.432960090587377
360	sh601128	常熟银行	sh000001	0.331671566777331
361	sh601139	深圳燃气	sh000905	0.677950216072984
362	sh601155	新城控股	sh000001	0.590884528614338
363	sh601158	重庆水务	sh000001	0.677815480173426
364	sh601163	三角轮胎	sz399006	0.46655511213198
365	sh601166	兴业银行	sh000016	0.835510286557799
366	sh601168	西部矿业	sh000001	0.775401924578841
367	sh601169	北京银行	sh000016	0.814676923080155
368	sh601179	中国西电	sh000001	0.732047973923127
369	sh601186	中国铁建	sh000001	0.664464481174312
370	sh601198	东兴证券	sh000300	0.736210595133227
371	sh601211	国泰君安	sh000300	0.823466681136602
372	sh601216	君正集团	sh000905	0.615107173979034
373	sh601225	陕西煤业	sh000001	0.688144645090401
374	sh601229	上海银行	sh000300	0.383391957583243
375	sh601231	环旭电子	sh000905	0.626424574110354
376	sh601233	桐昆股份	sh000905	0.658848570833677
377	sh601238	广汽集团	sh000905	0.583207011882057
378	sh601258	庞大集团	sh000905	0.657562775756378
379	sh601288	农业银行	sh000016	0.7545681734872
380	sh601311	骆驼股份	sh000905	0.716117204081663
381	sh601318	中国平安	sh000016	0.846053323466616
382	sh601328	交通银行	sh000016	0.826272634809627
383	sh601333	广深铁路	sh000001	0.690151099900242
384	sh601336	新华保险	sh000016	0.769486983484076
385	sh601377	兴业证券	sh000300	0.766823585986612
386	sh601390	中国中铁	sh000001	0.682414840054978
387	sh601398	工商银行	sh000016	0.697930875072618
388	sh601555	东吴证券	sh000300	0.76883662771992
389	sh601600	中国铝业	sh000001	0.695228863354089
390	sh601601	中国太保	sh000016	0.817536579048957
391	sh601607	上海医药	sh000905	0.652787899695371
392	sh601608	中信重工	sh000905	0.674317924110538
393	sh601611	中国核建	sh000905	0.323193894176219
394	sh601618	中国中冶	sh000001	0.703377105949775
395	sh601628	中国人寿	sh000016	0.796702688780837
396	sh601633	长城汽车	sh000300	0.580895978344795
397	sh601668	中国建筑	sh000016	0.721629281095607
398	sh601669	中国电建	sh000001	0.706361570602743
399	sh601678	滨化股份	sh000905	0.716511090567763
400	sh601688	华泰证券	sh000016	0.807752391788067
401	sh601689	拓普集团	sh000905	0.668634385784677
402	sh601699	潞安环能	sh000300	0.756264708429542
403	sh601717	郑煤机	sh000905	0.737749112921059
404	sh601718	际华集团	sh000905	0.660393831029905
405	sh601727	上海电气	sh000001	0.682552391338097
406	sh601766	中国中车	sh000001	0.604468157072047
407	sh601777	力帆股份	sh000905	0.720599513677784
408	sh601788	光大证券	sh000300	0.798776885629214
409	sh601800	中国交建	sh000001	0.618282514113792
410	sh601801	皖新传媒	sh000905	0.67577118133641
411	sh601808	中海油服	sh000001	0.68477709191574
412	sh601811	新华文轩	sz399006	0.355574875356841
413	sh601818	光大银行	sh000016	0.804936583473241
414	sh601857	中国石油	sh000016	0.693220527731554
415	sh601866	中远海发	sh000001	0.657111046668908
416	sh601872	招商轮船	sh000001	0.67947994451241
417	sh601877	正泰电器	sh000905	0.609775514862875
418	sh601880	大连港	sh000905	0.635025439694426
419	sh601886	江河集团	sh000905	0.709912240701141
420	sh601888	中国国旅	sh000905	0.581893315316336
421	sh601898	中煤能源	sh000001	0.779220616493999
422	sh601899	紫金矿业	sh000001	0.619407860807798
423	sh601901	方正证券	sh000300	0.772163165099529
424	sh601908	京运通	sh000905	0.689851139914694
425	sh601919	中远海控	sh000001	0.693107266930818
426	sh601928	凤凰传媒	sh000905	0.739274342555298
427	sh601929	吉视传媒	sh000905	0.711337581560613
428	sh601933	永辉超市	sh000905	0.599876601666576
429	sh601939	建设银行	sh000016	0.775446442036712
430	sh601958	金钼股份	sh000001	0.719617826616484
431	sh601966	玲珑轮胎	sh000905	0.466691594701841
432	sh601969	海南矿业	sh000905	0.684410786453468
433	sh601985	中国核电	sh000905	0.622092299206167
434	sh601988	中国银行	sh000016	0.732325211622411
435	sh601989	中国重工	sh000001	0.678060528502407
436	sh601991	大唐发电	sh000001	0.657268428174645
437	sh601992	金隅股份	sh000300	0.671378094930395
438	sh601997	贵阳银行	sh000016	0.380510830931123
439	sh601998	中信银行	sh000016	0.740158065084634
440	sh603000	人民网	sz399006	0.683360659397955
441	sh603001	奥康国际	sh000905	0.682549430099465
442	sh603005	晶方科技	sh000905	0.702707153203573
443	sh603019	中科曙光	sz399006	0.656891731693223
444	sh603025	大豪科技	sz399006	0.601014884017594
445	sh603077	和邦生物	sh000905	0.681827506479208
446	sh603160	汇顶科技	sz399006	0.413906161152781
447	sh603169	兰石重装	sh000905	0.578035918273551
448	sh603188	亚邦股份	sh000905	0.730276984114294
449	sh603198	迎驾贡酒	sh000905	0.658542126145055
450	sh603288	海天味业	sh000300	0.568553548465566
451	sh603328	依顿电子	sh000905	0.725138965657374
452	sh603355	莱克电气	sh000905	0.695465088912489
453	sh603369	今世缘	sh000905	0.655595264195492
454	sh603377	东方时尚	sz399006	0.441791273808125
455	sh603421	鼎信通讯	sz399006	0.430529410081319
456	sh603515	欧普照明	sz399006	0.327511200231099
457	sh603528	多伦科技	sz399006	0.382162928855314
458	sh603555	贵人鸟	sh000905	0.686279097483335
459	sh603567	珍宝岛	sh000905	0.706958273458782
460	sh603568	伟明环保	sz399001	0.560049025140488
461	sh603569	长久物流	sh000905	0.4646843194679
462	sh603589	口子窖	sz399001	0.559905916295856
463	sh603658	安图生物	sz399006	0.361439113673607
464	sh603698	航天工程	sh000905	0.743385947680609
465	sh603766	隆鑫通用	sh000905	0.721735248815534
466	sh603806	福斯特	sh000905	0.694654860374875
467	sh603816	顾家家居	sz399001	0.409450110713299
468	sh603866	桃李面包	sh000905	0.377766877181496
469	sh603868	飞科电器	sz399001	0.391037108665809
470	sh603883	老百姓	sz399006	0.648252295877006
471	sh603885	吉祥航空	sh000905	0.567414060131607
472	sh603993	洛阳钼业	sh000905	0.626802094388347
473	sz000001	平安银行	sh000016	0.832412418154769
474	sz000002	万 科Ａ	sh000300	0.62416350769703
475	sz000006	深振业Ａ	sz399001	0.66319427495484
476	sz000008	神州高铁	sh000905	0.515511722946497
477	sz000009	中国宝安	sh000905	0.682555595247855
478	sz000012	南 玻Ａ	sh000905	0.717847572944488
479	sz000021	深科技	sh000905	0.716115324316708
480	sz000025	特 力Ａ	sh000905	0.492404937814485
481	sz000027	深圳能源	sh000001	0.749129077722565
482	sz000028	国药一致	sh000905	0.567584188529003
483	sz000031	中粮地产	sz399001	0.67090008283173
484	sz000034	神州数码	sh000905	0.494041793229467
485	sz000039	中集集团	sh000001	0.686563960930476
486	sz000046	泛海控股	sh000300	0.660033266119609
487	sz000049	德赛电池	sz399006	0.594702065393813
488	sz000050	深天马Ａ	sh000905	0.675988065696412
489	sz000060	中金岭南	sz399001	0.734047022168577
490	sz000061	农 产 品	sh000905	0.637262382357347
491	sz000062	深圳华强	sh000905	0.65907745762626
492	sz000063	中兴通讯	sz399001	0.667274475165091
493	sz000066	中国长城	sh000905	0.589443866548878
494	sz000069	华侨城Ａ	sh000300	0.705283996922428
495	sz000078	海王生物	sh000905	0.694537519494673
496	sz000089	深圳机场	sh000001	0.733951726716275
497	sz000090	天健集团	sh000905	0.675798752444884
498	sz000099	中信海直	sh000905	0.720527658616669
499	sz000100	TCL 集团	sh000300	0.637380403752418
500	sz000156	华数传媒	sz399006	0.0399256957593085
501	sz000157	中联重科	sh000300	0.756895025662332
502	sz000158	常山股份	sh000905	0.677770076923059
503	sz000166	申万宏源	sh000300	0.831775002656775
504	sz000333	美的集团	sh000300	0.656008603155743
505	sz000338	潍柴动力	sh000300	0.740100859218394
506	sz000400	许继电气	sh000905	0.667073367165911
507	sz000401	冀东水泥	sz399001	0.647088096102684
508	sz000402	金 融 街	sh000300	0.711892911751932
509	sz000408	*ST金源	sh000905	0.607774759460112
510	sz000413	东旭光电	sh000905	0.558056845994968
511	sz000415	渤海金控	sh000905	0.608875056303661
512	sz000417	合肥百货	sh000905	0.719775865112419
513	sz000418	小天鹅Ａ	sh000905	0.563242815472655
514	sz000423	东阿阿胶	sh000905	0.571431941073159
515	sz000425	徐工机械	sz399001	0.677330242642927
