V1	cummax	cummin	C	perc	potential
sz002128	9.77	9.1	9.14	0.0597014925373148	0.0322757111597372
sz002129	11.48	9.92	11.02	0.705128205128205	-0.0290381125226861
sz002131	2.85	2.68	2.68	0	0.0317164179104477
sz002138	19.03	17.19	18.5	0.71195652173913	-0.0210810810810811
sz002142	19.56	18.52	18.64	0.115384615384616	0.0214592274678111
sz002143	12.09	12.09	12.09	NA	0
sz002146	10.31	9.71	9.76	0.0833333333333316	0.0256147540983609
sz002147	14.76	14.76	14.76	NA	0
sz002151	31.85	30.23	30.69	0.283950617283951	0.0114043662430758
sz002152	7.33	6.93	7.05	0.3	0.0113475177304965
sz002153	29.18	26.26	26.27	0.0034246575342459	0.055196041111534
sz002157	4.67	4.32	4.64	0.914285714285713	-0.0312499999999999
sz002168	13.76	13.76	13.76	NA	0
sz002174	22.4	21.15	21.42	0.216000000000002	0.0165732959850606
sz002176	11.61	10.56	10.6	0.0380952380952373	0.0457547169811321
sz002179	45.38	42.01	42.4	0.115727002967359	0.0305424528301887
sz002180	28.15	26.6	27.6	0.645161290322582	-0.00815217391304357
sz002183	7.43	7.16	7.24	0.296296296296297	0.00759668508287281
sz002185	8.04	7.4	7.47	0.109374999999999	0.0334672021419009
sz002191	9.05	8.44	8.62	0.295081967213114	0.0145011600928076
sz002195	6.05	5.67	5.71	0.105263157894737	0.0262697022767073
sz002202	18.2	16.32	16.99	0.356382978723403	0.0158917010005886
sz002203	8.76	8.45	8.67	0.70967741935484	-0.00749711649365625
sz002210	12.33	12.33	12.33	NA	0
sz002212	15.63	15.63	15.63	NA	0
sz002217	10.4	9.71	10.2	0.71014492753623	-0.0142156862745098
sz002219	11.71	11.71	11.71	NA	0
sz002221	11.51	11.08	11.19	0.255813953488371	0.00938337801608591
sz002223	24.94	23.33	23.33	0	0.0345049292756108
sz002230	62.2	56.88	57.08	0.0375939849624052	0.0430974071478627
sz002236	24.98	23.7	23.86	0.125	0.0201173512154234
sz002239	3.63	3.63	3.63	NA	0
sz002241	14.43	13.5	13.71	0.225806451612904	0.0185995623632385
sz002242	18.25	17.5	17.5	0	0.0214285714285714
sz002244	7.52	7.17	7.18	0.028571428571428	0.0229805013927578
sz002247	13.07	12.54	12.55	0.0188679245283048	0.0203187250996015
sz002249	6.42	6.1	6.11	0.0312500000000021	0.0245499181669393
sz002251	14.98	14.35	14.41	0.0952380952380959	0.0176960444136016
sz002252	19.54	19.54	19.54	NA	0
sz002262	16.48	14.57	15.75	0.617801047120419	-0.0142857142857142
sz002268	30.94	28.41	29.8	0.549407114624506	-0.00419463087248317
sz002271	41.86	39.08	39.4	0.115107913669065	0.0271573604060913
sz002273	21.78	19.83	20	0.0871794871794879	0.0402499999999999
sz002280	7.28	6.7	6.71	0.0172413793103445	0.0417287630402385
sz002281	29.56	28.1	28.22	0.0821917808219162	0.0216158752657689
sz002285	9.72	9.11	9.18	0.114754098360656	0.025599128540305
sz002287	34.49	32.2	32.73	0.231441048034932	0.0187901008249314
sz002292	12.55	11.95	12.08	0.216666666666667	0.0140728476821192
sz002294	44.68	41.7	42.65	0.318791946308724	0.0126611957796015
sz002299	14.16	13.35	13.93	0.716049382716049	-0.0125628140703518
sz002302	15.77	14.95	15.39	0.53658536585366	-0.00194931773879148
sz002303	6.63	6.41	6.53	0.545454545454547	-0.00153139356814713
