D,T,O,H,L,C,V
2/10/2017,1318,3199.51,3200.68,3199.51,3200.3,102827
2/10/2017,1319,3200.92,3201.36,3200.25,3201.17,95597
2/10/2017,1320,3201.36,3201.41,3200.79,3201.08,90339
2/10/2017,1321,3201.44,3202.25,3200.89,3201.89,87760
2/10/2017,1322,3202.48,3202.48,3201.23,3201.41,85830
2/10/2017,1323,3201.48,3201.89,3200.73,3200.73,84100
2/10/2017,1324,3201.61,3202.18,3201.08,3201.81,79051
2/10/2017,1325,3201.56,3202.67,3201.54,3202.54,111429
2/10/2017,1326,3202.43,3203.88,3202.43,3203.88,111479
2/10/2017,1327,3203.34,3204.66,3203.34,3204.66,103160
2/10/2017,1328,3204.08,3204.69,3203.76,3204.08,103848
2/10/2017,1329,3204.16,3204.94,3204.15,3204.83,100989
2/10/2017,1330,3204.36,3204.85,3203.56,3203.69,109826
2/10/2017,1331,3204.14,3204.14,3202.99,3203.3,102147
2/10/2017,1332,3202.8,3203.08,3201.99,3202.5,95634
2/10/2017,1333,3202.29,3202.6,3201.7,3201.74,82721
2/10/2017,1334,3201.96,3202.4,3201.18,3201.93,83799
2/10/2017,1335,3201.58,3202.01,3200.69,3201.83,78230
2/10/2017,1336,3201.01,3201.5,3200.57,3201.26,73780
2/10/2017,1337,3200.83,3201.49,3200.71,3200.94,74345
2/10/2017,1338,3200.85,3201.5,3200.02,3201.02,68139
2/10/2017,1339,3200.22,3201.21,3200.07,3201.07,70133
2/10/2017,1340,3200.8,3200.8,3199.48,3199.91,63050
2/10/2017,1341,3200.02,3200.02,3198.65,3199.23,74655
2/10/2017,1342,3199.5,3199.5,3198.19,3198.95,73188
2/10/2017,1343,3198.89,3199.24,3198.55,3199.14,79124
2/10/2017,1344,3199.29,3199.29,3198.57,3199.06,74810
2/10/2017,1345,3199.4,3199.5,3198.69,3199.49,66940
2/10/2017,1346,3199.41,3200.39,3199.04,3200.39,66066
2/10/2017,1347,3199.6,3200.19,3198.93,3200.19,66296
2/10/2017,1348,3199.39,3199.54,3198.45,3199.54,69636
